id	title	creator	pubd	pages	bc
in.ernet.dli.2015.364847	ಕಳಸಾಪುರದ ಹುಡುಗರು	ಮತಿಘಟ್ಟ ಕೃಷ್ಣಮೂರ್ತಿ	1955-01-01T00:00:00Z	124	2030020028456
in.ernet.dli.2015.364848	ಎರಡನೇ ಹೆಂಡತಿ	ಭಿ. ಪ. ಕಾಳೆ	1928-01-01T00:00:00Z	90	2030020028457
in.ernet.dli.2015.364849	ಸುಖಲತಾ	ಜಿ ಎಸ್ ಹಿರೇಮಠ	1927-01-01T00:00:00Z	114	2030020028458
in.ernet.dli.2015.364850	ವರದಕ್ಷಿಣೆ	‍ಬಿ. ಕಲ್ಯಾಣಶರ್ಮಾ	1933-01-01T00:00:00Z	102	2030020028460
in.ernet.dli.2015.364851	ಡೊಂಕು ಬಾಲ	ನಾ. ಕಸ್ತೂರಿ	1944-01-01T00:00:00Z	124	2030020028461
in.ernet.dli.2015.364852	ಷೇಕ್ಸಪೀಯರ ನಾಟಕ ಕಥೆಗಳು ನಾಲ್ಕು	ವಿ. ಲಕ್ಷ್ಮಿನರಸಿಂಹಶಾಸ್ತ್ರಿ	1934-01-01T00:00:00Z	131	2030020028462
in.ernet.dli.2015.364853	ಸ್ವರಾಜ್ಯ ಸುಗಂಧ	ಶ್ರೀರಂಗ	1938-01-01T00:00:00Z	243	2030020028463
in.ernet.dli.2015.381928	ಭಕ್ತ ಪುರಂದರದಾಸರು	ಕೆ. ಅಪ್ಪಣ್ಣಾಚಾರ್ಯ	1986-01-01T00:00:00Z	87	99049990002472
in.ernet.dli.2015.381929	ಮಾಧ್ವ ಸಿದ್ದಾಂತಸಾರ ಭಾಗ ೨	ಭೀಮಸೇನಾಚಾರ್ಯ ಎ. ಎಸ್	1996-01-01T00:00:00Z	168	02040100002482
in.ernet.dli.2015.381930	ಬ್ರಹ್ಮ ವೈವರ್ತ ಮಹಾಪುರಾಣ ಸಂಪುಟ ೧	ಪಂಡರಿನಾಥಾಚಾರ್ಯ ಗಲಗಲಿ	1998-01-01T00:00:00Z	514	02990100030237
